"Clust","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","Lat.100","Long.100"
"S.1128",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,NA,0,57.7556631324689,-4.08207997490339
"S.1129",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,57.7475293096106,-4.08497297834809
"S.113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,57.32054873,-4.822477631
"S.1130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,57.7475293096106,-4.08497297834809
"S.1131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,57.7531354775654,-4.07185060566483
"S.1132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,57.7531354775654,-4.07185060566483
"S.1133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,57.0747251097719,-4.01902673052955
"S.1135",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,57.8817693541976,-4.06237868361306
"S.1136",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,57.0747782039526,-4.01572996166793
"S.1137",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,57.0747782039526,-4.01572996166793
"S.1138",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,57.0748047185351,-4.01408157296622
"S.1139",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,NA,57.0748047185351,-4.01408157296622
"S.114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,57.31981609,-4.823085914
"S.1140",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,57.0757024743486,-4.01413023855234
"S.1141",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,57.0748576826844,-4.01078478703262
"S.1142",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,57.0868708254608,-3.98998052098779
"S.1143",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,57.780798476653,-4.02802325418304
"S.1146",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,57.7888772930498,-4.02847650848992
"S.1147",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,57.7888772930498,-4.02847650848992
"S.1148",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,57.0879513997551,-3.97848563208568
"S.1149",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,57.1651070665535,-3.985914128157
"S.115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,57.32040314,-4.824958316
"S.1150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,57.3755192123036,-3.97565451978404
"S.1151",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,57.0900578790435,-3.9587920305234
"S.1152",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,57.099959270849,-3.957663558751
"S.1153",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,57.099959270849,-3.957663558751
"S.1154",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,57.099959270849,-3.957663558751
"S.1155",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,57.1071148608423,-3.95341754762622
"S.1156",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,57.1071148608423,-3.95341754762622
"S.1157",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,57.1071148608423,-3.95341754762622
"S.1158",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,57.7267844871891,-3.97797576000358
"S.1159",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,57.0850808088642,-3.93212545633298
